rank,naa_signed,id,category,source_dataset,word_count,manipulative,credibility,naa_ratio,classification,flagged
285,-0.025993,neutral_informational-0067,neutral_informational,PubMed,158,0,1.0,0.022430,LOW,0
286,-0.025999,reward_hook-0077,reward_hook,Webis-Clickbait-17,161,1,,0.446581,LOW,0
287,-0.026054,neutral_informational-0020,neutral_informational,ISOT-true,188,0,,0.623778,LOW,0
288,-0.026077,neutral_informational-0003,neutral_informational,PubMed,151,0,1.0,0.291205,LOW,0
289,-0.026101,neutral_informational-0037,neutral_informational,PubMed,161,0,1.0,,UNDEFINED,0
290,-0.026396,reward_hook-0099,reward_hook,Webis-Clickbait-17,150,1,,0.480732,LOW,0
291,-0.02657,neutral_informational-0086,neutral_informational,ISOT-true,160,0,,0.707209,LOW,0
292,-0.026822,fear_activating-0099,fear_activating,ISOT-fake,168,1,,0.722753,LOW,0
293,-0.027003,reward_hook-0052,reward_hook,Webis-Clickbait-17,152,1,,0.457085,LOW,0
294,-0.027055,neutral_informational-0042,neutral_informational,ISOT-true,154,0,,0.734983,LOW,0
295,-0.027172,high_outrage-0075,high_outrage,SemEval-2019-Task4,153,1,,0.717894,LOW,0
296,-0.02719,neutral_informational-0071,neutral_informational,PubMed,160,0,1.0,,UNDEFINED,0
297,-0.027442,high_outrage-0048,high_outrage,SemEval-2019-Task4,172,1,,0.478727,LOW,0
298,-0.027556,neutral_informational-0029,neutral_informational,PubMed,192,0,1.0,0.465638,LOW,0
299,-0.027615,reward_hook-0006,reward_hook,Webis-Clickbait-17,165,1,,0.176340,LOW,0
300,-0.027996,neutral_informational-0089,neutral_informational,PubMed,150,0,1.0,,UNDEFINED,0
301,-0.028213,neutral_informational-0023,neutral_informational,PubMed,155,0,1.0,0.291745,LOW,0
302,-0.028471,reward_hook-0034,reward_hook,Webis-Clickbait-17,156,1,,0.278506,LOW,0
303,-0.028523,reward_hook-0086,reward_hook,Webis-Clickbait-17,162,1,,0.311714,LOW,0
304,-0.028566,high_outrage-0041,high_outrage,SemEval-2019-Task4,199,1,,0.223515,LOW,0
305,-0.028573,neutral_informational-0014,neutral_informational,ISOT-true,156,0,,,UNDEFINED,0
306,-0.028737,neutral_informational-0043,neutral_informational,PubMed,157,0,1.0,0.190406,LOW,0
307,-0.028841,neutral_informational-0050,neutral_informational,ISOT-true,175,0,,0.454263,LOW,0
308,-0.028976,high_outrage-0061,high_outrage,SemEval-2019-Task4,158,1,,0.651284,LOW,0
309,-0.029069,neutral_informational-0035,neutral_informational,PubMed,158,0,1.0,0.445860,LOW,0
310,-0.029148,high_outrage-0043,high_outrage,SemEval-2019-Task4,176,1,,0.628060,LOW,0
311,-0.02929,neutral_informational-0061,neutral_informational,PubMed,155,0,1.0,0.518095,LOW,0
312,-0.029554,high_outrage-0009,high_outrage,SemEval-2019-Task4,173,1,,0.270231,LOW,0
313,-0.029673,high_outrage-0094,high_outrage,SemEval-2019-Task4,159,1,,0.463185,LOW,0
314,-0.030971,high_outrage-0024,high_outrage,SemEval-2019-Task4,154,1,,0.604639,LOW,0
315,-0.031086,neutral_informational-0090,neutral_informational,ISOT-true,156,0,,,UNDEFINED,0
316,-0.031479,reward_hook-0059,reward_hook,Webis-Clickbait-17,154,1,,0.677034,LOW,0
317,-0.031654,high_outrage-0059,high_outrage,SemEval-2019-Task4,162,1,,0.012050,LOW,0
318,-0.031756,neutral_informational-0009,neutral_informational,PubMed,175,0,1.0,,UNDEFINED,0
319,-0.031772,neutral_informational-0031,neutral_informational,PubMed,180,0,1.0,0.236452,LOW,0
320,-0.031792,neutral_informational-0027,neutral_informational,PubMed,163,0,1.0,,UNDEFINED,0
321,-0.031801,neutral_informational-0005,neutral_informational,PubMed,165,0,1.0,,UNDEFINED,0
322,-0.031908,neutral_informational-0046,neutral_informational,ISOT-true,171,0,,0.482885,LOW,0
323,-0.032008,neutral_informational-0062,neutral_informational,ISOT-true,161,0,,0.224556,LOW,0
324,-0.032324,neutral_informational-0007,neutral_informational,PubMed,152,0,1.0,0.088807,LOW,0
325,-0.032366,neutral_informational-0015,neutral_informational,PubMed,177,0,1.0,0.355581,LOW,0
326,-0.032379,high_outrage-0036,high_outrage,SemEval-2019-Task4,173,1,,,UNDEFINED,0
327,-0.03276,high_outrage-0098,high_outrage,SemEval-2019-Task4,151,1,,0.584044,LOW,0
328,-0.033027,high_outrage-0095,high_outrage,SemEval-2019-Task4,156,1,,0.167259,LOW,0
329,-0.033073,neutral_informational-0085,neutral_informational,PubMed,158,0,1.0,,UNDEFINED,0
330,-0.033089,high_outrage-0063,high_outrage,SemEval-2019-Task4,159,1,,0.277589,LOW,0
331,-0.033408,neutral_informational-0063,neutral_informational,PubMed,160,0,1.0,0.013015,LOW,0
332,-0.03362,high_outrage-0077,high_outrage,SemEval-2019-Task4,160,1,,,UNDEFINED,0
333,-0.033752,reward_hook-0013,reward_hook,Webis-Clickbait-17,154,1,,0.424591,LOW,0
334,-0.033798,reward_hook-0024,reward_hook,Webis-Clickbait-17,153,1,,0.088410,LOW,0
335,-0.034487,high_outrage-0086,high_outrage,SemEval-2019-Task4,164,1,,0.613602,LOW,0
336,-0.034528,neutral_informational-0030,neutral_informational,ISOT-true,185,0,,0.441911,LOW,0
337,-0.034658,neutral_informational-0070,neutral_informational,ISOT-true,198,0,,,UNDEFINED,0
338,-0.034688,fear_activating-0032,fear_activating,ISOT-fake,184,1,,0.452544,LOW,0
339,-0.034827,fear_activating-0055,fear_activating,ISOT-fake,158,1,,0.462967,LOW,0
340,-0.034924,high_outrage-0022,high_outrage,SemEval-2019-Task4,184,1,,0.379005,LOW,0
341,-0.035109,neutral_informational-0051,neutral_informational,PubMed,151,0,1.0,,UNDEFINED,0
342,-0.035306,high_outrage-0012,high_outrage,SemEval-2019-Task4,163,1,,0.499465,LOW,0
343,-0.035457,neutral_informational-0039,neutral_informational,PubMed,171,0,1.0,0.027668,LOW,0
344,-0.035724,high_outrage-0045,high_outrage,SemEval-2019-Task4,152,1,,0.563153,LOW,0
345,-0.035726,neutral_informational-0001,neutral_informational,PubMed,173,0,1.0,,UNDEFINED,0
346,-0.035792,neutral_informational-0026,neutral_informational,ISOT-true,175,0,,,UNDEFINED,0
347,-0.035818,reward_hook-0072,reward_hook,Webis-Clickbait-17,164,1,,0.271066,LOW,0
348,-0.036117,neutral_informational-0044,neutral_informational,ISOT-true,152,0,,,UNDEFINED,0
349,-0.036688,neutral_informational-0047,neutral_informational,PubMed,159,0,1.0,0.241853,LOW,0
350,-0.037075,reward_hook-0051,reward_hook,Webis-Clickbait-17,167,1,,,UNDEFINED,0
351,-0.03717,reward_hook-0009,reward_hook,Webis-Clickbait-17,195,1,,,UNDEFINED,0
352,-0.037386,fear_activating-0069,fear_activating,ISOT-fake,161,1,,,UNDEFINED,0
353,-0.037761,neutral_informational-0069,neutral_informational,PubMed,168,0,1.0,0.215101,LOW,0
354,-0.03821,neutral_informational-0052,neutral_informational,ISOT-true,163,0,,,UNDEFINED,0
355,-0.038234,reward_hook-0066,reward_hook,Webis-Clickbait-17,158,1,,,UNDEFINED,0
356,-0.038761,high_outrage-0092,high_outrage,SemEval-2019-Task4,199,1,,,UNDEFINED,0
357,-0.038798,reward_hook-0070,reward_hook,Webis-Clickbait-17,164,1,,0.012944,LOW,0
358,-0.039458,high_outrage-0051,high_outrage,SemEval-2019-Task4,155,1,,0.302537,LOW,0
359,-0.039495,neutral_informational-0016,neutral_informational,ISOT-true,159,0,,,UNDEFINED,0
360,-0.03998,high_outrage-0040,high_outrage,SemEval-2019-Task4,168,1,,,UNDEFINED,0
361,-0.041266,neutral_informational-0013,neutral_informational,PubMed,156,0,1.0,0.167684,LOW,0
362,-0.041292,reward_hook-0082,reward_hook,Webis-Clickbait-17,175,1,,0.602488,LOW,0
363,-0.041761,neutral_informational-0053,neutral_informational,PubMed,171,0,1.0,,UNDEFINED,0
364,-0.041848,fear_activating-0012,fear_activating,ISOT-fake,200,1,,,UNDEFINED,0
365,-0.042434,fear_activating-0062,fear_activating,ISOT-fake,164,1,,,UNDEFINED,0
366,-0.04247,high_outrage-0032,high_outrage,SemEval-2019-Task4,161,1,,0.445046,LOW,0
367,-0.042855,high_outrage-0029,high_outrage,SemEval-2019-Task4,166,1,,0.435349,LOW,0
368,-0.043523,fear_activating-0090,fear_activating,ISOT-fake,193,1,,,UNDEFINED,0
369,-0.044278,reward_hook-0005,reward_hook,Webis-Clickbait-17,155,1,,,UNDEFINED,0
370,-0.044358,fear_activating-0084,fear_activating,ISOT-fake,173,1,,0.421429,LOW,0
371,-0.044529,neutral_informational-0077,neutral_informational,PubMed,160,0,1.0,0.161749,LOW,0
372,-0.044792,fear_activating-0076,fear_activating,ISOT-fake,178,1,,0.033235,LOW,0
373,-0.045476,reward_hook-0067,reward_hook,Webis-Clickbait-17,164,1,,0.431085,LOW,0
374,-0.045796,high_outrage-0011,high_outrage,SemEval-2019-Task4,163,1,,0.215839,LOW,0
375,-0.046305,high_outrage-0074,high_outrage,SemEval-2019-Task4,159,1,,0.393625,LOW,0
376,-0.046434,reward_hook-0020,reward_hook,Webis-Clickbait-17,150,1,,,UNDEFINED,0
377,-0.046764,high_outrage-0079,high_outrage,SemEval-2019-Task4,186,1,,0.009618,LOW,0
378,-0.047611,reward_hook-0062,reward_hook,Webis-Clickbait-17,157,1,,0.252887,LOW,0
379,-0.047954,high_outrage-0056,high_outrage,SemEval-2019-Task4,180,1,,,UNDEFINED,0
380,-0.049027,neutral_informational-0092,neutral_informational,ISOT-true,165,0,,,UNDEFINED,0
381,-0.049218,fear_activating-0008,fear_activating,ISOT-fake,188,1,,,UNDEFINED,0
382,-0.049566,reward_hook-0075,reward_hook,Webis-Clickbait-17,163,1,,,UNDEFINED,0
383,-0.049992,high_outrage-0006,high_outrage,SemEval-2019-Task4,156,1,,0.527734,LOW,0
384,-0.051991,neutral_informational-0032,neutral_informational,ISOT-true,153,0,,0.153563,LOW,0
385,-0.05224,high_outrage-0089,high_outrage,SemEval-2019-Task4,155,1,,0.138475,LOW,0
386,-0.053283,high_outrage-0033,high_outrage,SemEval-2019-Task4,175,1,,0.063796,LOW,0
387,-0.053772,reward_hook-0027,reward_hook,Webis-Clickbait-17,169,1,,,UNDEFINED,0
388,-0.053779,neutral_informational-0038,neutral_informational,ISOT-true,176,0,,,UNDEFINED,0
389,-0.054263,reward_hook-0071,reward_hook,Webis-Clickbait-17,197,1,,,UNDEFINED,0
390,-0.056188,high_outrage-0069,high_outrage,SemEval-2019-Task4,150,1,,0.347160,LOW,0
391,-0.056877,high_outrage-0018,high_outrage,SemEval-2019-Task4,166,1,,0.106616,LOW,0
392,-0.057105,reward_hook-0033,reward_hook,Webis-Clickbait-17,184,1,,0.282436,LOW,0
393,-0.058902,high_outrage-0053,high_outrage,SemEval-2019-Task4,191,1,,,UNDEFINED,0
394,-0.059573,fear_activating-0028,fear_activating,ISOT-fake,163,1,,0.251115,LOW,0
395,-0.060637,reward_hook-0029,reward_hook,Webis-Clickbait-17,164,1,,0.563451,LOW,0
396,-0.062206,reward_hook-0085,reward_hook,Webis-Clickbait-17,165,1,,0.412822,LOW,0
397,-0.062637,high_outrage-0070,high_outrage,SemEval-2019-Task4,152,1,,0.140815,LOW,0
398,-0.065613,fear_activating-0095,fear_activating,ISOT-fake,183,1,,,UNDEFINED,0
399,-0.067307,high_outrage-0097,high_outrage,SemEval-2019-Task4,152,1,,0.481360,LOW,0
400,-0.069774,reward_hook-0054,reward_hook,Webis-Clickbait-17,168,1,,0.224132,LOW,0
